"ident","ins_buzz_max"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s120_ch0",-0.59
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s121_ch0",-1.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s122_ch0",-1.41
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s123_ch0",-0.88
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s124_ch0",-0.52
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s125_ch0",0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s126_ch0",-0.65
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s127_ch0",-0.64
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s128_ch0",-0.58
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s129_ch0",-1.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s12_ch0",-1.63
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s130_ch0",-0.92
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s131_ch0",-0.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s132_ch0",-1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s133_ch0",-1.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s134_ch0",-0.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s135_ch0",-0.98
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s136_ch0",-1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s137_ch0",-0.93
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s138_ch0",-2.59
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s139_ch0",-2.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s13_ch0",-1.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s140_ch0",-1.84
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s141_ch0",-0.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s142_ch0",-0.13
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s143_ch0",-1.3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s144_ch0",-0.25
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s145_ch0",-0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s146_ch0",-0.79
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s147_ch0",-0.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s148_ch0",-1.13
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s149_ch0",-1.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s14_ch0",-2.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s150_ch0",0.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s151_ch0",0.21
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s152_ch0",-0.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s153_ch0",-1.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s154_ch0",-0.12
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s155_ch0",-0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s156_ch0",-1.12
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s157_ch0",-0.53
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s158_ch0",-0.87
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s159_ch0",-0.47
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s15_ch0",-2.69
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s160_ch0",-0.63
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s161_ch0",-0.29
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s162_ch0",-0.39
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s163_ch0",-2.41
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s164_ch0",-0.72
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s165_ch0",-1.71
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s166_ch0",-0.44
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s167_ch0",-0.97
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s168_ch0",-1.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s169_ch0",-1.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s16_ch0",-2.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s170_ch0",-0.84
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s171_ch0",-1.35
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s172_ch0",-0.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s173_ch0",-0.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s174_ch0",-1.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s175_ch0",-2.25
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s176_ch0",-2.22
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s177_ch0",-2.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s178_ch0",-2.13
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s179_ch0",-2.65
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s17_ch0",-1.88
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s180_ch0",-2.56
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s181_ch0",-1.04
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s182_ch0",-2.3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s183_ch0",-0.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s184_ch0",-0.71
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s185_ch0",-0.72
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s186_ch0",-0.83
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s187_ch0",0.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s188_ch0",-0.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s189_ch0",-0.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s18_ch0",-1.73
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s190_ch0",-0.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s191_ch0",0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s192_ch0",-2.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s193_ch0",-0.78
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s194_ch0",-0.71
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s195_ch0",-0.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s196_ch0",-0.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s197_ch0",0.77
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s198_ch0",-0.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s199_ch0",-0.28
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s19_ch0",-2.43
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s1_ch0",1.13
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s200_ch0",-0.87
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s201_ch0",-0.37
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s202_ch0",0.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s203_ch0",0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s204_ch0",-1.37
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s205_ch0",-1.46
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s206_ch0",-1.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s207_ch0",-0.22
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s208_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s209_ch0",-1.02
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s20_ch0",-1.96
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s21_ch0",-0.25
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s22_ch0",-0.97
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s23_ch0",-0.88
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s24_ch0",-1.21
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s25_ch0",0.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s26_ch0",-0.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s27_ch0",-0.73
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s28_ch0",-1.82
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s29_ch0",-0.47
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s2_ch0",0.64
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s30_ch0",-0.74
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s31_ch0",0.13
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s32_ch0",-0.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s33_ch0",-0.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s34_ch0",-0.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s35_ch0",-1.39
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s36_ch0",-0.8
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s37_ch0",-0.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s38_ch0",-0.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s39_ch0",-1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s3_ch0",-0.02
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s40_ch0",-1.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s41_ch0",-1.8
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s42_ch0",-2.28
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s43_ch0",-2.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s44_ch0",-2.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s45_ch0",-2.46
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s46_ch0",-2.73
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s47_ch0",-2.3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s48_ch0",-1.83
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s49_ch0",-0.05
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s4_ch0",-0.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s50_ch0",-0.72
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s51_ch0",-1.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s52_ch0",-0.81
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s53_ch0",-0.77
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s54_ch0",-0.76
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s55_ch0",-1.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s56_ch0",-2.37
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s57_ch0",-2.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s58_ch0",-1.29
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s59_ch0",0.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s5_ch0",-0.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s60_ch0",-0.49
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s61_ch0",-1.28
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s62_ch0",-2.69
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s63_ch0",-0.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s64_ch0",-0.59
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s65_ch0",-0.04
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s66_ch0",-1.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s67_ch0",0.02
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s68_ch0",-0.67
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s69_ch0",-0.79
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s6_ch0",-0.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s70_ch0",-0.14
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s71_ch0",0.18
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s72_ch0",-1.07
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s73_ch0",-1.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s74_ch0",-0.46
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s75_ch0",-0.35
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s76_ch0",-0.32
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s77_ch0",-0.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s78_ch0",-1.95
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s79_ch0",-2.59
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s7_ch0",-0.36
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s80_ch0",-0.87
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s81_ch0",-1.39
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s82_ch0",-0.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s83_ch0",-1.21
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s84_ch0",-1.34
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s85_ch0",-0.16
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s86_ch0",-0.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s87_ch0",-0.57
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s88_ch0",-0.74
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s89_ch0",-0.51
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s8_ch0",-0.97
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s90_ch0",-1.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s91_ch0",-0.82
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s92_ch0",-1.09
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s93_ch0",-0.12
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s94_ch0",0.24
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s95_ch0",-1.32
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s96_ch0",-0.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s97_ch0",-1.44
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s98_ch0",-0.41
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s99_ch0",-0.58
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000007/2023510-16-19_Bombus_terrestris_000007_s9_ch0",-0.67
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000008/2023510-16-19_Bombus_terrestris_000008_s100_ch0",-0.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000008/2023510-16-19_Bombus_terrestris_000008_s101_ch0",-2.74
